artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sum 41,War,0.391,0.899,1,-4.105,1,0.0491,0.000811,0,0.313,0.539,175.937,audio_features,4lUHxbFilSwlkl52me8x1W,spotify:track:4lUHxbFilSwlkl52me8x1W,https://api.spotify.com/v1/tracks/4lUHxbFilSwlkl52me8x1W,https://api.spotify.com/v1/audio-analysis/4lUHxbFilSwlkl52me8x1W,209667,4
NEFFEX,Greatest,0.827,0.854,2,-3.508,1,0.133,0.247,0,0.377,0.462,105.1,audio_features,2SxaA6dhE2lEP1faOFPCu8,spotify:track:2SxaA6dhE2lEP1faOFPCu8,https://api.spotify.com/v1/tracks/2SxaA6dhE2lEP1faOFPCu8,https://api.spotify.com/v1/audio-analysis/2SxaA6dhE2lEP1faOFPCu8,176000,4
Billy Talent,Fallen Leaves,0.71,0.811,3,-4.079,1,0.0431,0.00105,2.08e-06,0.0677,0.914,123.048,audio_features,3jUTjCISntIUFL8jnAjzgc,spotify:track:3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/tracks/3jUTjCISntIUFL8jnAjzgc,https://api.spotify.com/v1/audio-analysis/3jUTjCISntIUFL8jnAjzgc,199200,4
Above Snakes,Down,0.529,0.96,2,-3.41,1,0.0976,0.000345,4.32e-06,0.323,0.495,88.996,audio_features,02wXqPYB92VrIAqVdbFGqU,spotify:track:02wXqPYB92VrIAqVdbFGqU,https://api.spotify.com/v1/tracks/02wXqPYB92VrIAqVdbFGqU,https://api.spotify.com/v1/audio-analysis/02wXqPYB92VrIAqVdbFGqU,199708,4
BLANK,Take Your Crown,0.661,0.943,4,-2.155,1,0.349,0.394,0,0.246,0.833,81.58,audio_features,1CmVAFQMwKfIOht1KYSNQR,spotify:track:1CmVAFQMwKfIOht1KYSNQR,https://api.spotify.com/v1/tracks/1CmVAFQMwKfIOht1KYSNQR,https://api.spotify.com/v1/audio-analysis/1CmVAFQMwKfIOht1KYSNQR,162717,4
Breaking Benjamin,Blow Me Away,0.536,0.951,5,-4.126,1,0.0498,0.00058,0.00165,0.14,0.491,99.116,audio_features,0V5lmry5Citfw2drBNpEMy,spotify:track:0V5lmry5Citfw2drBNpEMy,https://api.spotify.com/v1/tracks/0V5lmry5Citfw2drBNpEMy,https://api.spotify.com/v1/audio-analysis/0V5lmry5Citfw2drBNpEMy,205333,4
Skillet,Not Gonna Die,0.445,0.953,5,-2.463,0,0.0704,0.0106,0,0.281,0.475,172.063,audio_features,2jfk3m8nq5IvB35s2xIs1O,spotify:track:2jfk3m8nq5IvB35s2xIs1O,https://api.spotify.com/v1/tracks/2jfk3m8nq5IvB35s2xIs1O,https://api.spotify.com/v1/audio-analysis/2jfk3m8nq5IvB35s2xIs1O,225280,4
Chubbz,Brawl,0.793,0.915,11,-2.661,0,0.287,0.234,1.2e-06,0.0701,0.82,145.008,audio_features,3pD5e1q5cK8ShQcfHXaXeJ,spotify:track:3pD5e1q5cK8ShQcfHXaXeJ,https://api.spotify.com/v1/tracks/3pD5e1q5cK8ShQcfHXaXeJ,https://api.spotify.com/v1/audio-analysis/3pD5e1q5cK8ShQcfHXaXeJ,164258,4
Joyner Lucas,Isis (feat. Logic),0.884,0.936,1,-3.931,1,0.167,0.206,0,0.262,0.758,120.004,audio_features,4h7qcXBtaOJnmrapxoWxGf,spotify:track:4h7qcXBtaOJnmrapxoWxGf,https://api.spotify.com/v1/tracks/4h7qcXBtaOJnmrapxoWxGf,https://api.spotify.com/v1/audio-analysis/4h7qcXBtaOJnmrapxoWxGf,236501,4
Bring Me The Horizon,Can You Feel My Heart,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,audio_features,0WSa1sucoNRcEeULlZVQXj,spotify:track:0WSa1sucoNRcEeULlZVQXj,https://api.spotify.com/v1/tracks/0WSa1sucoNRcEeULlZVQXj,https://api.spotify.com/v1/audio-analysis/0WSa1sucoNRcEeULlZVQXj,228147,5
Live My Last,Lets Get This Started Again,0.537,0.898,7,-1.819,1,0.134,0.0049,0,0.15,0.575,102.513,audio_features,4ofZe3eFWlNKC0FYEFOSvG,spotify:track:4ofZe3eFWlNKC0FYEFOSvG,https://api.spotify.com/v1/tracks/4ofZe3eFWlNKC0FYEFOSvG,https://api.spotify.com/v1/audio-analysis/4ofZe3eFWlNKC0FYEFOSvG,198365,4
Trapt,Headstrong,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,audio_features,1AEYT6VxrxXPMoQUxsY0E4,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/tracks/1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/audio-analysis/1AEYT6VxrxXPMoQUxsY0E4,285570,4
zebrahead,Wake Me Up,0.523,0.981,1,-3.865,1,0.124,0.000593,3.66e-06,0.411,0.449,104.471,audio_features,3mSZz9k6TzRpin74YEipgV,spotify:track:3mSZz9k6TzRpin74YEipgV,https://api.spotify.com/v1/tracks/3mSZz9k6TzRpin74YEipgV,https://api.spotify.com/v1/audio-analysis/3mSZz9k6TzRpin74YEipgV,229773,4
Three Days Grace,Time of Dying,0.306,0.873,0,-3.668,0,0.0567,0.00105,0,0.52,0.452,198.387,audio_features,6gPd6brcBXlbGdy1obe234,spotify:track:6gPd6brcBXlbGdy1obe234,https://api.spotify.com/v1/tracks/6gPd6brcBXlbGdy1obe234,https://api.spotify.com/v1/audio-analysis/6gPd6brcBXlbGdy1obe234,186373,4
Eminem,W.T.P.,0.805,0.927,9,-2.339,1,0.237,0.0305,0,0.357,0.746,94.961,audio_features,5NqQXBoJUEBVJUV57wiqim,spotify:track:5NqQXBoJUEBVJUV57wiqim,https://api.spotify.com/v1/tracks/5NqQXBoJUEBVJUV57wiqim,https://api.spotify.com/v1/audio-analysis/5NqQXBoJUEBVJUV57wiqim,238173,4
Onlap,The Awakening,0.535,0.974,4,-4.085,1,0.0696,0.000385,1.8e-05,0.0932,0.378,102.043,audio_features,0X0wvZuhTcTU03Roz9fPJA,spotify:track:0X0wvZuhTcTU03Roz9fPJA,https://api.spotify.com/v1/tracks/0X0wvZuhTcTU03Roz9fPJA,https://api.spotify.com/v1/audio-analysis/0X0wvZuhTcTU03Roz9fPJA,238379,4
Awake At Last,Bloodline,0.349,0.964,5,-2.96,0,0.105,0.000155,0,0.168,0.391,177.884,audio_features,2JFavDC3z5uk0s6TFwt3Q6,spotify:track:2JFavDC3z5uk0s6TFwt3Q6,https://api.spotify.com/v1/tracks/2JFavDC3z5uk0s6TFwt3Q6,https://api.spotify.com/v1/audio-analysis/2JFavDC3z5uk0s6TFwt3Q6,229000,4
Immortal Technique,Point of No Return,0.581,0.83,5,-7.032,0,0.475,0.296,0,0.325,0.52,118.332,audio_features,5KUiLOgwUB2Y8dzTBv8j7R,spotify:track:5KUiLOgwUB2Y8dzTBv8j7R,https://api.spotify.com/v1/tracks/5KUiLOgwUB2Y8dzTBv8j7R,https://api.spotify.com/v1/audio-analysis/5KUiLOgwUB2Y8dzTBv8j7R,241827,5
Hollywood Undead,Whatever It Takes,0.686,0.862,7,-3.426,1,0.034,0.00207,1.12e-05,0.148,0.472,87.48,audio_features,2ouOVzQTzSsLa2OH1Zxhvu,spotify:track:2ouOVzQTzSsLa2OH1Zxhvu,https://api.spotify.com/v1/tracks/2ouOVzQTzSsLa2OH1Zxhvu,https://api.spotify.com/v1/audio-analysis/2ouOVzQTzSsLa2OH1Zxhvu,187654,4
2Scratch,Reminder,0.615,0.767,3,-6.066,0,0.123,0.243,4.05e-05,0.144,0.299,140.138,audio_features,6S7XekjbMtUQxhgySaIK8W,spotify:track:6S7XekjbMtUQxhgySaIK8W,https://api.spotify.com/v1/tracks/6S7XekjbMtUQxhgySaIK8W,https://api.spotify.com/v1/audio-analysis/6S7XekjbMtUQxhgySaIK8W,291429,4
